# zmin      zmax        nz_BGS     nz_PV    bias_BGS    err_PV
0.00        0.01          12.4      12.3         1.34   0.2
0.01        0.02          86.3      28.4         1.34   0.2
0.02        0.03         232.2      87.0         1.34   0.2
0.03        0.04         448.0     111.9         1.34   0.2
0.04        0.05         731.6     112.9         1.34   0.2
0.05        0.06        1080.9     112.2         1.34   0.2
0.06        0.07        1493.8     117.8         1.34   0.2
0.07        0.08        1968.3     131.8         1.34   0.2
0.08        0.09        2502.4     131.0         1.34   0.2
0.09        0.10        3094.0     117.6         1.34   0.2
